case,constraint_row_local,classification,coefficient_count,support_node_count,side_a_node_count,side_b_node_count,coefficient_l1,coefficient_l2,coefficient_max_abs,support_x_span_m,support_y_span_m
historical,115,Stycast_to_substrate,23,23,8,15,2.700657692830362e-10,9.427168809494461e-11,6.751644232075893e-11,4.0128631007100005e-05,3.407609774499999e-05
historical,116,Stycast_to_substrate,19,19,7,12,1.9088321037062029e-10,7.308667580151014e-11,4.7720802592655046e-11,3.5117238712399995e-05,3.5484153693999924e-05
historical,117,Stycast_to_substrate,20,20,8,12,2.4577079979361287e-10,8.981363921916336e-11,6.144269994840318e-11,3.14397780773e-05,3.3986741569000064e-05
historical,118,Stycast_to_substrate,13,13,5,8,8.599872614418725e-11,3.4289871704644024e-11,2.1499681536046793e-11,3.7964667725e-05,2.7418926869999995e-05
historical,119,Stycast_to_substrate,19,19,7,12,2.680688866632319e-10,9.834146931861213e-11,6.701761574724761e-11,3.4456540118000005e-05,3.231314710200003e-05
historical,120,Stycast_to_substrate,18,18,7,11,2.1971971892941096e-10,8.195759695385553e-11,5.494545935773875e-11,3.902267655600002e-05,2.908930491400002e-05
historical,121,Stycast_to_substrate,20,20,7,13,2.3057484746428384e-10,8.804112263172263e-11,5.764379816410435e-11,3.926210766402e-05,3.2813120254000035e-05
historical,122,Stycast_to_substrate,20,20,8,12,2.8940377151538547e-10,1.0329755941887241e-10,7.234992720832737e-11,3.3352876422e-05,3.661612451200005e-05
historical,123,Stycast_to_substrate,17,17,6,11,1.6055705074948432e-10,6.44952924343722e-11,4.4870544561737236e-11,2.9731574392000005e-05,2.9358103324000017e-05
historical,124,Stycast_to_substrate,21,21,7,14,2.0704279561020246e-10,7.699701413250136e-11,5.177381473413746e-11,3.6887808850199995e-05,3.558264648599997e-05
historical,125,Stycast_to_substrate,19,19,7,12,2.534925289561728e-10,9.472295768418771e-11,6.337315608529969e-11,3.836320876800001e-05,3.6375635539000065e-05
historical,126,Stycast_to_substrate,20,20,7,13,2.0016423570675305e-10,7.589483375661067e-11,5.005144658615905e-11,3.1499071986400007e-05,3.3995891238000056e-05
historical,127,Stycast_to_substrate,18,18,7,11,2.2136299890920533e-10,8.248001071924596e-11,5.534074972730121e-11,3.9996538799000006e-05,3.371876702400005e-05
historical,128,Stycast_to_substrate,21,21,8,13,3.186228675472084e-10,1.1356163495282828e-10,7.96573722059315e-11,3.8073869287699996e-05,4.084859663499999e-05
