interface,side,boundary_id,parent_element,element_type,face_type,face_node_count,face_area_m2,element_volume_m3,centroid_to_face_h_m,local_kA_over_h_W_K,local_face_block_diagonal_W_K,local_matrix_trace_W_K,local_face_block_trace_fraction,face_temperature_K,element_temperature_K,abs_element_face_deltaT_K,abs_normal_gradient_K_m,abs_normal_flux_W_m2,abs_face_heatflow_proxy_W,case
TES_to_Stycast,side_a,25,490603,706,303,3,9.365774832499374e-11,1.498523973199883e-17,8.000000000001279e-08,3.1503422659702297e-09,1.5756691590825198e-09,3.151338318165039e-09,0.5000000000000001,0.16705161328096318,0.16705161335774296,7.67797769807288e-11,0.0009597470252739833,2.5826216601907725e-09,2.4188252946882487e-19,historical
TES_to_Stycast,side_a,25,269717,706,303,3,7.467251139204974e-11,1.194760182272782e-17,8.000000000001279e-08,2.511740597566128e-09,1.2563871390070918e-09,2.512774278014183e-09,0.5000000000000001,0.16705164773930847,0.16705164777416673,3.485825517124397e-11,0.00043572862795476265,1.1725195941085892e-09,8.755498274847516e-20,historical
TES_to_Stycast,side_a,25,410849,706,303,3,7.97314730290081e-11,1.2757035684641191e-17,8.000000000001279e-08,2.6819076254080597e-09,1.3414567144938227e-09,2.6829134289876455e-09,0.5,0.16705375353780239,0.16705375353691665,8.857359290459499e-13,1.1071196252747807e-05,2.979192484436919e-11,2.375354052211058e-21,historical
TES_to_Stycast,side_a,25,412170,706,303,3,7.678810648610166e-11,1.2286097037776183e-17,8.000000000001279e-08,2.5829023408459675e-09,1.2919521146659804e-09,2.583904229331961e-09,0.5,0.1670537950726603,0.1670537950723332,3.2709945863018675e-13,4.088900163299008e-06,1.1002985005427835e-11,8.4489838426177245e-22,historical
TES_to_Stycast,side_a,25,393496,706,303,3,4.724282353285042e-11,7.558851765256014e-18,8.000000000001279e-08,1.5890950444683526e-09,7.951787843298189e-10,1.5903575686596378e-09,0.5,0.16705248784686244,0.1670524878467872,7.524536549396998e-14,9.398989957230645e-07,2.5292118035510235e-12,1.1948710691236336e-22,historical
TES_to_Stycast,side_a,25,491190,706,303,3,7.255551197168927e-11,1.1608881915470207e-17,8.000000000001279e-08,2.440531617313329e-09,1.2208376156172293e-09,2.4416752312344585e-09,0.5,0.167051451307903,0.16705145132270593,1.48029366542346e-11,0.0001850372037487608,4.979240130556904e-10,3.612713169025371e-20,historical
TES_to_Stycast,side_a,25,501226,706,303,3,6.864478832990165e-11,1.0983166132784149e-17,8.000000000001279e-08,2.3089875838554502e-09,1.1550496800517049e-09,2.3100993601034097e-09,0.5,0.16705116555073887,0.16705116524653488,3.042039953271569e-10,0.003802549375313352,1.0232432216005712e-08,7.024031435677785e-19,historical
TES_to_Stycast,side_a,25,265218,706,303,3,5.900483614824851e-11,9.440773783719665e-18,8.000000000001279e-08,1.984730922309281e-09,9.929208701205066e-10,1.9858417402410133e-09,0.5,0.16705180669208586,0.16705180698203323,2.8994737166776474e-10,0.003624342430486975,9.75288801989462e-09,5.75467559586098e-19,historical
TES_to_Stycast,side_a,25,461264,706,303,3,5.050635147119231e-11,8.081016235390706e-18,8.000000000001279e-08,1.6988695178483565e-09,8.49946324681175e-10,1.69989264936235e-09,0.5,0.16705359964146047,0.16705359964076083,6.99634794543158e-13,8.745381543036855e-06,2.3533297009419595e-11,1.188580970033705e-21,historical
TES_to_Stycast,side_a,25,462526,706,303,3,6.133861250437435e-11,9.81417800069979e-18,8.000000000001279e-08,2.0632315741561846e-09,1.032159332079317e-09,2.064318664158634e-09,0.5,0.16705345466472596,0.16705345467732272,1.259675697085072e-11,0.00015745977555076877,4.2371480842058573e-10,2.5990078446075526e-20,historical
TES_to_Stycast,side_a,25,282830,706,303,3,7.037432725348133e-11,1.1259892360556889e-17,8.000000000001279e-08,2.36716365224316e-09,1.1840942526329567e-09,2.3681885052659135e-09,0.5,0.1670522937512913,0.16705229336887875,3.8241254607385144e-10,0.0047801563171723516,1.2863113840131768e-08,9.052329828842179e-19,historical
TES_to_Stycast,side_a,25,321590,706,303,3,7.512387324192553e-11,1.2019819718707948e-17,8.000000000001279e-08,2.5269229432699348e-09,1.264032427053166e-09,2.528064854106332e-09,0.5,0.16705330031135102,0.16705330029546786,1.588315590161926e-11,0.00019853913449275612,5.342568985719372e-10,4.013544752694247e-20,historical
TES_to_Stycast,side_a,25,319167,706,303,3,8.447533707427462e-11,1.3516053931883842e-17,8.000000000001279e-08,2.8414757943326526e-09,1.4212849300128791e-09,2.8425698600257586e-09,0.49999999999999994,0.16705325310663052,0.16705325310201743,4.613087689619988e-12,5.766331044412511e-05,1.5516850860651404e-10,1.3107912067847754e-20,historical
TES_to_Stycast,side_a,25,491408,706,303,3,8.267943126092859e-11,1.3228709001748416e-17,8.000000000001279e-08,2.7810673594655954e-09,1.3910458878013638e-09,2.7820917756027276e-09,0.5,0.1670530490653678,0.16705304906541563,4.782285678572862e-14,5.976319063449257e-07,1.6081916020598146e-12,1.3296436701690706e-22,historical
TES_to_Stycast,side_a,25,493129,706,303,3,9.597204413302595e-11,1.5355527061283977e-17,8.000000000001279e-08,3.2281876554910452e-09,1.6146014438231672e-09,3.2292028876463347e-09,0.49999999999999994,0.1670529731380513,0.16705297313749937,5.519473766923966e-13,6.899028775847688e-06,1.8564872494079578e-11,1.781708762325805e-21,historical
TES_to_Stycast,side_a,25,433313,706,303,3,9.107984128112664e-11,1.4572774604980106e-17,8.000000000001279e-08,3.0636298512124467e-09,1.5323197860471837e-09,3.0646395720943678e-09,0.49999999999999994,0.16705298182890407,0.16705298182961267,7.085998454670062e-13,8.85765516548103e-06,2.3835418590999526e-11,2.170926142137452e-21,historical
TES_to_Stycast,side_a,25,433955,706,303,3,1.0222457977410594e-10,1.6355932763856847e-17,8.000000000001279e-08,3.438502633716109e-09,1.7197531638840812e-09,3.4395063277681623e-09,0.5,0.16705307205875555,0.16705307206156583,2.810279786658043e-12,3.5128765767318635e-05,9.452940095390842e-11,9.663228288811257e-21,historical
TES_to_Stycast,side_a,25,463245,706,303,3,6.303348118143647e-11,1.0085356989029713e-17,8.000000000001279e-08,2.1202414481293444e-09,1.0606616689554447e-09,2.1213233379108895e-09,0.5,0.16705342109362087,0.1670534210587484,3.487246602595917e-11,0.00043590577257461593,1.172996279651937e-09,7.393803891933536e-20,historical
TES_to_Stycast,side_a,25,492900,706,303,3,9.68999032936205e-11,1.550398452697917e-17,8.000000000001279e-08,3.2593978221111688e-09,1.6302015320928728e-09,3.2604030641857453e-09,0.5000000000000001,0.16705289998367445,0.16705289998074743,2.9270197376973783e-12,3.6587732292757934e-05,9.845539233587404e-11,9.54031799608166e-21,historical
