time_ms,COMSOL_current_A,Elmer_current_A
20.019999917509498,-9.746735845675054e-14,-8.043466240312175e-09
20.019999938132123,-9.746735843028076e-14,-8.043466633937197e-09
20.01999996906606,-9.746735848322032e-14,-8.043467224374695e-09
20.019999976799543,-9.746735848322032e-14,-8.043467371984052e-09
20.01999998839977,-9.746735856262965e-14,-8.043467593398157e-09
20.019999991299827,-9.746735861556921e-14,-8.04346764875165e-09
20.01999999564991,-9.746735858909943e-14,-8.043467731781922e-09
20.019999996737436,-9.746735861556921e-14,-8.043467752539558e-09
20.019999998368718,-9.746735861556921e-14,-8.04346778367591e-09
20.019999998776537,-9.746735861556921e-14,-8.04346779145998e-09
20.01999999938827,-9.746735861556921e-14,-8.043467803136121e-09
20.019999999541202,-9.746735861556921e-14,-8.043467806055172e-09
20.019999999770604,-9.746735861556921e-14,-8.043467810433785e-09
20.019999999885304,-9.746735861556921e-14,-8.043467812623057e-09
20.02,-9.746735861556921e-14,-8.043467814812262e-09
20.020000000103227,-9.746735864203899e-14,-8.043467816782573e-09
20.02000000020645,-9.746735861556921e-14,-8.043467818752815e-09
20.02000000030968,-9.746735861556921e-14,-8.043467820723126e-09
20.020000000412907,-9.746735866850877e-14,-8.043467822693437e-09
20.02000000061936,-9.746735866850877e-14,-8.043467826633991e-09
20.020000001032265,-9.746735861556921e-14,-8.043467834515168e-09
20.02000000185808,-9.746735864203899e-14,-8.04346785027752e-09
20.020000002683894,-9.746735864203899e-14,-8.043467866039872e-09
20.020000004335525,-9.746735864203899e-14,-8.043467897564645e-09
20.02000000582199,-9.746735866850877e-14,-8.043467925936893e-09
20.020000007308457,-9.746735866850877e-14,-8.04346795430914e-09
20.020000008794927,-9.746735864203899e-14,-8.043467982681455e-09
20.020000011767856,-9.746735866850877e-14,-8.043468039425883e-09
20.020000014740788,-9.746735866850877e-14,-8.043468096170379e-09
20.02000001771372,-9.746735864203899e-14,-8.043468152914874e-09
20.020000023659584,-9.746735866850877e-14,-8.043468266403864e-09
20.020000029010863,-9.746735864203899e-14,-8.04346836854397e-09
20.02000003436214,-9.746735866850877e-14,-8.043468470684076e-09
20.02000003971342,-9.746735872144833e-14,-8.04346857282418e-09
20.020000045064698,-9.746735866850877e-14,-8.043468674964285e-09
20.020000050415977,-9.746735866850877e-14,-8.043468777104392e-09
20.020000055767255,-9.746735866850877e-14,-8.043468879244497e-09
20.020000061118534,-9.746735877438789e-14,-8.043468981384602e-09
20.020000066469812,-9.746735874791811e-14,-8.043469083524707e-09
20.020000077172366,-9.746735877438789e-14,-8.04346928780485e-09
20.02000008787492,-9.746735877438789e-14,-8.043469492084992e-09
20.020000098577473,-9.746735877438789e-14,-8.043469696365136e-09
20.020000109280026,-9.746735880085767e-14,-8.043469900645278e-09
20.02000011998258,-9.746735880085767e-14,-8.043470104925421e-09
20.020000130685133,-9.746735877438789e-14,-8.043470309205563e-09
20.020000141387687,-9.746735885379723e-14,-8.043470513485707e-09
20.02000015209024,-9.746735882732745e-14,-8.043470717765848e-09
20.020000162792794,-9.746735880085767e-14,-8.043470922045992e-09
20.020000173495347,-9.746735890673679e-14,-8.043471126326134e-09
20.020000194900454,-9.746735893320657e-14,-8.04347153488642e-09
20.020000214165055,-9.746735898614613e-14,-8.043471902590759e-09
20.020000233429656,-9.746735906555547e-14,-8.043472270295097e-09
20.020000252694256,-9.746735917143459e-14,-8.043472637999435e-09
20.020000271958857,-9.746735919790436e-14,-8.043473005703772e-09
20.020000291223457,-9.746735917143459e-14,-8.043473373408112e-09
20.020000310488058,-9.746735922437414e-14,-8.04347374111245e-09
20.02000032975266,-9.746735930378348e-14,-8.043474108816788e-09
20.02000034901726,-9.746735933025326e-14,-8.043474476521127e-09
20.02000036828186,-9.746735938319282e-14,-8.043474844225465e-09
20.02000038754646,-9.746735943613238e-14,-8.043475211929803e-09
20.02000040681106,-9.74673594096626e-14,-8.04347557963414e-09
20.02000044534026,-9.74673595420115e-14,-8.04347631504275e-09
20.020000480016535,-9.746735964789062e-14,-8.043476976910464e-09
20.020000514692814,-9.74673596743604e-14,-8.043477638778247e-09
20.020000549369094,-9.746735970083018e-14,-8.043478300646028e-09
20.020000583219574,-9.746735975250901e-14,-8.043478946751729e-09
