time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
24.796001000001485,1.104970872839417e-08,4.057991789029165e-08,-4.4587132685857864e-07,-4.4254638408009047e-07
24.801001000001488,1.103970455096339e-08,4.0570002012018894e-08,-4.4584534905246363e-07,-4.425377992937798e-07
24.80600100000149,1.1029700373532607e-08,4.056008613374614e-08,-4.4581957839163046e-07,-4.4253285950019696e-07
24.81100100000149,1.1019696196101833e-08,4.0550170255473406e-08,-4.4579582631081613e-07,-4.425309305002142e-07
24.816001000001492,1.1009692018671053e-08,4.054025437720065e-08,-4.457646412947395e-07,-4.4252664991833025e-07
24.821001000001495,1.0999687841240273e-08,4.05303384989279e-08,-4.4572168332848087e-07,-4.425221099382034e-07
24.826001000001497,1.0989683663809493e-08,4.052042262065515e-08,-4.4567868238452944e-07,-4.425194340124789e-07
24.831001000001496,1.097967948637872e-08,4.051050674238241e-08,-4.4564898966334724e-07,-4.425112313622228e-07
24.8360010000015,1.096967530894794e-08,4.0500590864109656e-08,-4.456378607047256e-07,-4.425127089421085e-07
24.8410010000015,1.0959671131517156e-08,4.049067498583691e-08,-4.456090629822182e-07,-4.4250180841306683e-07
24.8460010000015,1.0949666954086382e-08,4.048075910756417e-08,-4.4557779885521587e-07,-4.424837033686121e-07
24.851001000001503,1.0939662776655602e-08,4.047084322929142e-08,-4.45550779444012e-07,-4.4247197578562315e-07
24.856001000001505,1.0929658599224822e-08,4.0460927351018666e-08,-4.4552118753051124e-07,-4.4245752632031724e-07
24.861001000001508,1.0919654421794042e-08,4.045101147274592e-08,-4.4549486139945746e-07,-4.4245569805906066e-07
24.866001000001507,1.0909650244363269e-08,4.044109559447318e-08,-4.454658152741977e-07,-4.4244034391150116e-07
24.87100100000151,1.0899646066932485e-08,4.0431179716200424e-08,-4.4542822360234334e-07,-4.4243067519938117e-07
24.876001000001512,1.0889641889501705e-08,4.042126383792768e-08,-4.4539359299393096e-07,-4.424137120389042e-07
24.88100100000151,1.0879637712070932e-08,4.0411347959654936e-08,-4.453661298247139e-07,-4.4240227018780263e-07
24.886001000001514,1.0869633534640152e-08,4.040143208138218e-08,-4.4533721529587517e-07,-4.4238906382878195e-07
24.891001000001516,1.0859629357209371e-08,4.0391516203109435e-08,-4.4530675433743965e-07,-4.4239002767085234e-07
24.89600100000152,1.0849625179778588e-08,4.038160032483669e-08,-4.4527653828710183e-07,-4.4238315704278955e-07
24.901001000001518,1.0839621002347815e-08,4.037168444656394e-08,-4.452553592674093e-07,-4.423645849917202e-07
24.90600100000152,1.0829616824917035e-08,4.036176856829119e-08,-4.452336276569474e-07,-4.423377515478874e-07
24.911001000001523,1.0819612647486254e-08,4.0351852690018445e-08,-4.452156774521483e-07,-4.423270400977957e-07
24.916001000001522,1.0809608470055481e-08,4.03419368117457e-08,-4.4519594651965715e-07,-4.42321011843755e-07
24.921001000001525,1.0799604292624701e-08,4.033202093347295e-08,-4.451753156900116e-07,-4.423129266312967e-07
24.926001000001527,1.0789600115193917e-08,4.03221050552002e-08,-4.4514175092044976e-07,-4.423048480816673e-07
24.931001000001526,1.0779595937763144e-08,4.0312189176927456e-08,-4.4511022780828555e-07,-4.422962516600784e-07
