case,side,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
historical,substrate_side,116475,504,4.5435899631867235e-11,8.988215302398935e-06,1.1929392105840739e-05,1.7823251824999908e-06,1.0797539747122562e-16,1.444984799281782,3,1.3968152232438662e-11,3.6050475815735757e-12,5.7165625066558485e-12,1.1694693654792097e-11,8.684750341994662e-12,solve
historical,substrate_side,114565,504,5.022025934110877e-11,1.0110966332974858e-05,1.2070610369296876e-05,1.7823251825000177e-06,1.1934511052711875e-16,1.8139394372615705,3,2.019471534969556e-11,7.466734819817868e-12,6.318511440292079e-12,1.1371097730843331e-11,8.243839665333827e-12,solve
historical,substrate_side,84284,504,1.8085271921764898e-10,1.476648255990032e-05,2.57117208521332e-05,5.77753531874999e-06,1.3931772970292593e-15,2.1711036994562307,3,5.0398761790913134e-11,6.821646622948802e-12,7.019484223548826e-12,4.3769376900742065e-11,3.565389725911167e-11,solve
historical,substrate_side,208868,504,6.370752073025024e-11,1.1827852040833305e-05,1.2492456241038823e-05,1.7823251824999908e-06,1.513966913495545e-16,1.7175117009138867,3,1.7660010837812397e-11,7.251980182157626e-12,8.015424528826135e-12,1.1098759294207755e-11,7.863935827186334e-12,solve
historical,substrate_side,267614,504,4.8992475025361265e-11,1.0092380788428654e-05,1.1207766835940966e-05,4.445798606750014e-06,2.904142362786476e-16,1.8997759196157857,3,2.8681938727299105e-11,1.450305868811345e-12,2.471168519730464e-12,2.7830767673477956e-11,1.9821501086471464e-11,solve
historical,substrate_side,117944,504,3.001848799044522e-10,2.1525534396721124e-05,3.328117586757041e-05,5.77753531874999e-06,2.312438327736942e-15,1.5461254180356128,3,4.6009872196522515e-11,7.830898099493887e-12,1.1651154805703233e-11,4.0746620092564595e-11,3.187050492935212e-11,solve
historical,substrate_side,172161,504,2.981638047896224e-10,2.010728507247122e-05,3.262794598037261e-05,5.777535318750017e-06,2.296869217259899e-15,1.622692763482195,3,4.703380948221297e-11,7.963966263998253e-12,1.1572710284965399e-11,4.155326455433206e-11,3.289552903673053e-11,solve
historical,substrate_side,112959,504,5.2155755746370814e-11,1.000411247883293e-05,1.1739455296764827e-05,1.7823251825000179e-06,1.2394468917210105e-16,1.752085251652099,3,1.6274575366496355e-11,5.72710378786034e-12,6.5620278286927916e-12,1.127616349547291e-11,8.11239126275211e-12,solve
historical,substrate_side,58101,504,4.812263066910546e-11,9.775019123473008e-06,1.1750559091301868e-05,4.445798606750014e-06,2.8525803250914007e-16,2.1772074283150022,3,3.111663027004884e-11,2.6007583383226596e-12,2.427293782046129e-12,2.8330010873424726e-11,2.0516573595857512e-11,solve
historical,substrate_side,221848,504,5.2935856187498495e-11,1.0409371383385441e-05,1.1794951067136339e-05,4.445798606750014e-06,3.1378954091400003e-16,1.9673199162727197,3,2.982904372063007e-11,2.2586027688532153e-12,2.6700717060693343e-12,2.7918500847988976e-11,1.9944497126401488e-11,solve
historical,substrate_side,219670,504,4.537643850868722e-11,9.59183732518752e-06,1.1794951067136339e-05,4.445798606749987e-06,2.6897934280159814e-16,2.042911513722869,3,2.981212451249625e-11,1.5591874847187584e-12,2.288776517661263e-12,2.874995632187372e-11,2.1092659020036407e-11,solve
historical,substrate_side,101003,504,4.6837799692196833e-11,1.0021425236189429e-05,1.0706979144820928e-05,1.7823251824999908e-06,1.1130691984572421e-16,1.5217884265453234,3,1.4473590640538703e-11,4.452296739644878e-12,5.892943944855421e-12,1.1109746279664036e-11,7.879434701921873e-12,solve
historical,substrate_side,233196,504,5.419374921726633e-11,9.894692234552922e-06,1.2653730921664645e-05,1.7823251824999906e-06,1.287878452853642e-16,1.8369946266898607,3,1.6775733583285147e-11,5.983281830271319e-12,6.8184399864562525e-12,1.1525315374491751e-11,8.455289664159278e-12,solve
historical,substrate_side,233142,504,5.169253535818588e-11,9.222855342218182e-06,1.2995602981065135e-05,1.782325182499991e-06,1.2284387668822097e-16,1.699842944971792,3,1.5885804804972042e-11,5.054924774530052e-12,6.50374729887224e-12,1.1956952206318876e-11,9.034806853914186e-12,solve
historical,substrate_side,208685,504,4.18674810971384e-11,8.469306715451651e-06,1.150224598170248e-05,4.445798606749987e-06,2.4817918550638635e-16,2.440618439167438,3,3.1899148222986387e-11,2.304846745856924e-12,2.1117855596007526e-12,2.938359047720297e-11,2.1948477517993284e-11,solve
historical,substrate_side,91033,504,4.971781565892029e-11,9.862827628058158e-06,1.2848989386588182e-05,4.445798606749987e-06,2.947138607827753e-16,2.4360281541507125,3,3.3386681275500404e-11,3.127675837601057e-12,2.507754524801747e-12,2.9485838490305215e-11,2.2085174835220292e-11,solve
historical,substrate_side,33245,504,1.2891639600070485e-10,1.5340820766553974e-05,1.968472678604065e-05,5.77753531874999e-06,9.930920414133758e-16,1.7063897851372403,3,3.9317453640816604e-11,3.0688592832404446e-12,5.003666031665664e-12,3.743525422128501e-11,2.7510730526402182e-11,solve
historical,substrate_side,234200,504,5.3645270105373524e-11,1.0810928749285735e-05,1.1690058850860652e-05,1.7823251824999908e-06,1.274844211077619e-16,1.8022199639675773,3,1.789207880037786e-11,6.7554743019337045e-12,6.749432546257313e-12,1.1130557334489157e-11,7.908750558697047e-12,solve
historical,substrate_side,148934,504,5.095559761638092e-11,9.298321113771383e-06,1.43187860139343e-05,4.445798606749987e-06,3.0205109985202705e-16,2.210647687031457,3,3.321827442613733e-11,1.6071231883745972e-12,2.5701879455665373e-12,3.221334988469801e-11,2.5613281453571138e-11,solve
historical,substrate_side,104675,504,5.330772624622754e-11,9.632962020928333e-06,1.2201234622218037e-05,1.7823251824999908e-06,1.2668227054729028e-16,1.5764531678291316,3,1.490035666538499e-11,4.7559981589537916e-12,6.706964132840194e-12,1.152781462699583e-11,8.45869605185812e-12,solve
historical,substrate_side,103947,504,4.551484463678668e-11,8.957107126269204e-06,1.1946623324419014e-05,1.7823251824999908e-06,1.0816300503162663e-16,1.5435562685063817,3,1.6847769001560596e-11,5.423754694232386e-12,5.726495050280344e-12,1.171074980833389e-11,8.706359164239274e-12,solve
historical,substrate_side,30087,504,2.67527072937025e-10,2.0636234905674828e-05,3.432319118669475e-05,5.77753531874999e-06,2.0608628168206354e-15,1.663248714873666,3,5.1285140325132604e-11,8.601864246920768e-12,1.0383598742541827e-11,4.4159280557525566e-11,3.613148342986113e-11,solve
historical,substrate_side,162536,504,4.212443694666717e-11,8.826664914028718e-06,1.1526293244623712e-05,1.782325182499991e-06,1.001059263582374e-16,1.8431190442212513,3,1.677895197376545e-11,5.2041522580272005e-12,5.299927564203278e-12,1.1668844260661088e-11,8.649910704909277e-12,solve
