case,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
mesh_phase24_stycast_density_10um,221813,504,4.330127018532275e-11,9.999999999286638e-06,1.000000000003798e-05,1.5625000000002074e-07,9.021097955275623e-18,2.371482221072887,3,4.5955790884975703e-10,1.6881557455090256e-10,6.214459732932742e-11,9.710093333581856e-13,6.866072842130028e-13,solve
mesh_phase24_stycast_density_10um,274017,504,4.3301264786030336e-11,9.999997895099317e-06,1.0000000226557775e-05,1.5625000000002074e-07,9.02109683042303e-18,2.3065089743174187,3,4.254505457742675e-10,1.6241646030318224e-10,6.214458958043868e-11,9.710093333581794e-13,6.866072842130456e-13,solve
mesh_phase24_stycast_density_10um,241449,504,4.33012701900744e-11,9.999999999978288e-06,1.0000000000158645e-05,1.5624999999999363e-07,9.021097956265565e-18,3.6702536599866766,3,1.0287609205602705e-10,7.957920791455009e-11,6.214459733614883e-11,9.710093333582307e-13,6.866072842130321e-13,solve
mesh_phase24_stycast_density_10um,234047,504,4.330127019013977e-11,9.99999999999819e-06,1.0000000000179067e-05,9.975609425002175e-08,5.759420786976471e-18,2.5503539846083534,3,9.762607752978789e-11,9.717210527090714e-11,9.733834716356432e-11,6.199302308871101e-13,4.3835687012282146e-13,solve
mesh_phase24_stycast_density_10um,252635,504,4.3301270179457814e-11,9.999999996107647e-06,1.0000000000392253e-05,5.6823128250009464e-08,3.280684838393401e-18,2.831824849491661,3,4.752413516443881e-10,2.848687658024907e-10,1.7088276605740033e-10,3.5312504244067436e-13,2.4969711211660425e-13,solve
mesh_phase24_stycast_density_10um,219997,504,4.330127019018541e-11,1.0000000000008137e-05,1.0000000000179067e-05,1.5625000000002074e-07,9.02109795628864e-18,2.6912655049518266,3,5.1566039166817065e-11,5.6073235649627974e-11,6.214459733630638e-11,9.710093333582048e-13,6.866072842130165e-13,solve
mesh_phase24_stycast_density_10um,273290,504,4.330127017986391e-11,9.999999996107823e-06,1.0000000000491715e-05,1.5625000000002074e-07,9.021097954138319e-18,2.9090271280254423,3,1.6679893362984588e-10,1.0151507070412612e-10,6.214459732148985e-11,9.710093333582044e-13,6.866072842130128e-13,solve
mesh_phase24_stycast_density_10um,222295,504,4.330127018504887e-11,9.999999999286635e-06,9.999999999978285e-06,1.5625000000002074e-07,9.021097955218511e-18,2.1630688359713175,3,2.1625187997401516e-10,1.1566565185303355e-10,6.214459732893962e-11,9.710093333582202e-13,6.866072842130245e-13,solve
mesh_phase24_stycast_density_10um,229627,504,4.330127018966878e-11,9.999999999878812e-06,1.000000000015827e-05,1.5625000000002074e-07,9.021097956181018e-18,2.2526072657269935,3,3.782404661959721e-10,1.531184459290716e-10,6.214459733556385e-11,9.71009333358238e-13,6.866072842130328e-13,solve
mesh_phase24_stycast_density_10um,230550,504,4.3301270189668855e-11,9.999999999878826e-06,1.0000000000158294e-05,1.5625000000002074e-07,9.021097956181018e-18,2.430244926313193,3,2.164910474612825e-10,1.1572988372587835e-10,6.214459733556431e-11,9.710093333582448e-13,6.866072842130406e-13,solve
