% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 13 2026, 23:25
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
27.42                                             0.16907886735398983                               0.1688956266499639                                0.16871044520012726                               138.68827256323829                                16.206222142254056
27.43                                             0.16907844738216207                               0.16889536244421935                               0.16871033812990577                               138.69194308130076                                16.205690053476346
27.44                                             0.16907802776733485                               0.1688950984628821                                0.16871023115033762                               138.69561053248472                                16.20515843741007
27.450000000000003                                0.16907760850921122                               0.1688948347057646                                0.16871012426134455                               138.6992749193107                                 16.204627293616987
27.46                                             0.16907718960747348                               0.16889457117267742                               0.16871001746285197                               138.70293624429783                                16.20409662165926
27.470000000000002                                0.16907677106183389                               0.16889430786342705                               0.16870991075478114                               138.70659450996473                                16.203566421100096
27.48                                             0.16907635287199088                               0.16889404477782516                               0.16870980413705763                               138.7102497188264                                 16.20303669150287
27.490000000000002                                0.1690759350376233                                0.16889378191567958                               0.16870969760960325                               138.71390187339333                                16.202507432429577
27.5                                              0.16907551755844794                               0.16889351927680318                               0.1687095911723433                                138.71755097618032                                16.201978643446157
27.51                                             0.1690751004341426                                0.1688932568610044                                0.16870948482520112                               138.72119702969354                                16.20145032411573
27.520000000000003                                0.1690746836644324                                0.16889299466809282                               0.16870937856810106                               138.72484003644132                                16.200922474004102
27.53                                             0.16907426724899283                               0.1688927326978809                                0.168709272400965                                 138.7284799989268                                 16.200395092675574
27.540000000000003                                0.16907385118752397                               0.1688924709501796                                0.16870916632371927                               138.73211691965477                                16.199868179696775
27.55                                             0.16907343547973053                               0.16889220942479782                               0.16870906033628613                               138.73575080112576                                16.199341734633666
27.560000000000002                                0.16907302012532138                               0.1688919481215473                                0.16870895443859066                               138.73938164583893                                16.198815757052493
27.57                                             0.1690726051239756                                0.16889168704024113                               0.16870884863055616                               138.74300945629219                                16.19829024652081
