% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 2 2026, 14:15
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
20.2985                  0.16949143315194176      0.1688047287189152       135.47280068417805
20.299                   0.16949139246167738      0.168804789004963        135.4707506153166
20.2995                  0.16949135178716773      0.1688048488302647       135.46871622341655
20.3                     0.1694913111283199       0.16880490819785485      135.46669740502753
20.3005                  0.1694912704850404       0.16880496711074697      135.4646940573807
20.301                   0.1694912298572393       0.16880502557193663      135.46270607838534
20.3015                  0.16949118924482487      0.16880508358439741      135.460733366629
20.302                   0.16949114864770673      0.16880514115108414      135.45877582136487
20.3025                  0.16949110806579487      0.16880519827493312      135.45683334251237
20.303                   0.16949106749899784      0.16880525495886095      135.45490583064978
20.3035                  0.16949102694723064      0.16880531120576434      135.45299318701493
20.304                   0.16949098641040303      0.16880536701852086      135.45109531349718
20.3045                  0.16949094588842772      0.1688054223999899       135.44921211263207
20.305                   0.16949090538121814      0.16880547735301302      135.4473434876013
20.305500000000002       0.16949086488868653      0.16880553188041078      135.44548934222158
20.306                   0.16949082441074909      0.16880558598498685      135.443649580948
20.306500000000003       0.16949078394731856      0.1688056396695253       135.441824108865
20.307                   0.1694907434983103       0.16880569293679282      135.44001283168595
20.3075                  0.1694907030636424       0.16880574578953825      135.43821565574444
20.308                   0.1694906626432292       0.16880579823049102      135.43643248799214
20.3085                  0.16949062223698724      0.1688058502623634       135.4346632359986
20.309                   0.16949058184483648      0.16880590188785016      135.43290780793842
20.3095                  0.16949054146669199      0.16880595310962776      135.43116611259302
20.31                    0.1694905011024739       0.1688060039303542       135.42943805935286
20.3105                  0.16949046075210164      0.1688060543526726       135.4277235582005
20.311                   0.16949042041549361      0.1688061043792058       135.42602251971016
20.3115                  0.1694903800925699       0.16880615401256222      135.42433485505197
20.312                   0.169490339783252        0.16880620325533022      135.42266047598412
20.3125                  0.16949029948746328      0.16880625211008324      135.4209992948407
20.313                   0.16949025920512015      0.16880630057937698      135.41935122453668
20.3135                  0.1694902189361493       0.16880634866575056      135.41771617856412
20.314000000000004       0.16949017868047245      0.16880639637172534      135.41609407098636
20.3145                  0.16949013843801267      0.16880644369980874      135.4144848164307
20.315000000000005       0.16949009820869113      0.16880649065248834      135.41288833009233
20.3155                  0.16949005799243655      0.16880653723223754      135.41130452772276
20.316000000000003       0.16949001778917083      0.16880658344151384      135.4097333256297
20.3165                  0.16948997759881948      0.16880662928275633      135.40817464067703
20.317                   0.1694899374213089       0.16880667475838948      135.40662839027135
20.3175                  0.16948989725656438      0.1688067198708231       135.4050944923686
20.318                   0.16948985710451478      0.16880676462244854      135.40357286546603
20.3185                  0.16948981696508572      0.16880680901564288      135.40206342859932
20.319                   0.16948977683820368      0.1688068530527678       135.40056610133496
20.3195                  0.16948973672380033      0.16880689673616808      135.3990808037739
20.32                    0.1694896966218001       0.1688069400681748       135.3976074565441
20.3205                  0.16948965653213457      0.16880698305110234      135.39614598079763
20.321                   0.1694896164547325       0.16880702568725112      135.3946962982026
20.3215                  0.16948957638952447      0.16880706797890493      135.39325833094978
20.322                   0.16948953633644054      0.16880710992833323      135.39183200174156
20.3225                  0.16948949629541202      0.16880715153779177      135.39041723378887
20.323                   0.16948945626636955      0.16880719280951825      135.3890139508102
20.323500000000003       0.1694894162492452       0.16880723374574036      135.3876220770298
20.324                   0.16948937624397184      0.16880727434866669      135.38624153717214
20.324500000000004       0.1694893362504819       0.16880731462049356      135.38487225645034
20.325                   0.16948929626870896      0.16880735456340246      135.38351416058217
20.3255                  0.1694892562985861       0.16880739417955984      135.3821671757697
20.326                   0.1694892163400474       0.16880743347111993      135.38083122870225
