% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 9 2026, 15:39
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
23.450000000000003       0.1693090544132659       0.16876907756686432      136.68446371618
23.46                    0.169308438706466        0.1687689208723185       136.6898022697222
23.470000000000002       0.16930782352337587      0.16876876431035295      136.69513639590915
23.48                    0.16930720886355077      0.16876860788085737      136.70046609832232
23.490000000000006       0.1693065947265428       0.1687684515837179       136.70579138054154
23.5                     0.16930598111191017      0.16876829541882293      136.7111122461442
23.51                    0.16930536801920268      0.16876813938606217      136.7164286987054
23.520000000000003       0.16930475544797918      0.16876798348532235      136.72174074179563
23.53                    0.16930414339779384      0.16876782771649293      136.72704837898453
23.540000000000003       0.16930353186820504      0.16876767207946172      136.7323516138381
23.55                    0.16930292085876583      0.1687675165741186       136.7376504499192
23.560000000000002       0.16930231036903523      0.16876736120035113      136.7429448907875
23.57                    0.1693017003985694       0.16876720595804892      136.74823494000196
23.580000000000005       0.16930109094692553      0.16876705084710047      136.75352060111567
23.590000000000003       0.16930048201366302      0.16876689586739496      136.7588018776829
23.6                     0.16929987359833837      0.16876674101882094      136.7640787732533
23.610000000000003       0.16929926570051132      0.168766586301269        136.76935129137243
23.62                    0.1692986583197407       0.16876643171462766      136.77461943558666
23.630000000000003       0.1692980514555875       0.16876627725878615      136.77988320943646
23.64                    0.16929744510760802      0.16876612293363347      136.78514261645924
23.650000000000006       0.16929683927536524      0.1687659687390606       136.7903976601922
23.66                    0.1692962339584192       0.16876581467495638      136.79564834416826
23.670000000000005       0.16929562915632945      0.16876566074121058      136.80089467191794
23.68                    0.16929502486866005      0.16876550693771358      136.80613664696853
23.69                    0.16929442109496948      0.16876535326435455      136.81137427284642
23.700000000000003       0.16929381783482136      0.16876519972102422      136.81660755307414
23.71                    0.1692932150877772       0.16876504630761224      136.82183649117184
23.720000000000002       0.1692926128534036       0.16876489302400968      136.82706109065464
23.73                    0.16929201113125805      0.16876473987010596      136.83228135503865
23.740000000000006       0.1692914099209072       0.16876458684579207      136.83749728783403
23.75                    0.1692908092219152       0.16876443395095822      136.8427088925505
23.760000000000005       0.169290209033846        0.16876428118549552      136.84791617269485
23.770000000000003       0.16928960935626203      0.16876412854929373      136.85311913177085
23.78                    0.1692890101887322       0.16876397604224466      136.85831777327786
23.790000000000003       0.1692884115308194       0.16876382366423895      136.86351210071533
23.8                     0.16928781338209023      0.1687636714151667       136.86870211757815
23.810000000000002       0.16928721574210995      0.16876351929492012      136.87388782735871
23.82                    0.16928661861044503      0.16876336730339023      136.87906923354848
23.830000000000005       0.16928602198666562      0.16876321544046763      136.88424633963382
23.840000000000003       0.16928542587033346      0.16876306370604408      136.88941914910052
23.85                    0.16928483026102012      0.16876291210001113      136.89458766542947
23.860000000000003       0.16928423515829255      0.16876276062225992      136.8997518921008
23.87                    0.16928364056171982      0.16876260927268316      136.90491183259118
